czone,china_exposure,working_age_25_64_cz,pop2000_cz,gpt_exposure,china_above_average_mass,gpt_above_average_mass,china_exposure_z,gpt_exposure_z,china_pctile,gpt_pctile,adult25p_1990,hs_less_1990,ba_plus_1990,hs_less_share_1990,ba_share_1990,adult25p_2024,hs_less_2024,ba_plus_2024,hs_less_share_2024,ba_share_2024
6100,0.0409312569607186,163552.0,304068,0.2916393894449406,3271.111653985372,0.0,1.025845820941139,-1.5931648811659598,0.8904299583911235,0.04576976421636616,178681,125625,17039,0.7030685971088141,0.0953598871732305,224772,113491,40147,0.5049160927517662,0.17861210471055114
6200,0.0369632757141113,122854.0,230941,0.3198635598454281,1969.65145565949,0.0,0.8285754116377833,-0.20153889375546463,0.8543689320388349,0.4368932038834951,135559,95461,15622,0.7042025981307032,0.11524133403167625,170931,83279,38182,0.4872082887246901,0.22337668415910514
6301,0.0785559395445676,49850.0,84309,0.3114821733079755,2872.612266655017,0.0,2.896377981235719,-0.6147930355264489,0.9750346740638003,0.24549237170596394,47693,38159,3704,0.8000964502128195,0.07766338875725998,68859,40366,10897,0.5862124050596146,0.15825091854369072
6302,0.0484704303589213,60078.0,98362,0.3269521614477086,1654.5247802701197,0.0,1.4006600475315618,0.14797296307356322,0.9320388349514563,0.5894590846047156,52523,38620,6813,0.7352969175408869,0.12971460122232165,82659,40795,20422,0.4935336744940055,0.2470632357033112
6401,0.0223666000219754,305640.0,490863,0.340424791723767,438.8321575915375,0.0,0.10289350708795364,0.8122568780619897,0.6671289875173371,0.7988904299583911,290799,180916,44913,0.6221341889071146,0.15444688599341813,417070,157779,131159,0.3783034023065672,0.3144771860838708
6402,0.0707391911676995,63962.0,104194,0.3206631883840365,3185.8431102242425,0.0,2.507763959169823,-0.16211226619431046,0.970873786407767,0.4521497919556172,54907,42137,4699,0.7674249184985521,0.08558107345147249,98926,54591,17326,0.5518367264419869,0.17514101449568364
6501,0.0219006570056246,27725.0,43254,0.3062249695676589,26.888762881834243,0.0,0.0797288891537954,-0.8740056622334476,0.6560332871012483,0.14840499306518723,19740,15342,1609,0.7772036474164133,0.0815096251266464,44456,20571,10911,0.46272719093035813,0.24543368724131726
6502,0.0833022762594679,124970.0,203077,0.3103206553818418,7794.561032538471,0.0,3.132344768437773,-0.6720630458727201,0.9791955617198336,0.21497919556171982,108349,76788,10859,0.708709817349491,0.1002224293717524,172553,83553,35284,0.48421644364340233,0.20448210115153026
6600,0.0325597637414233,263757.0,418304,0.3180884641719834,3067.215617890216,0.0,0.6096523484385483,-0.28906207811318463,0.8072122052704577,0.39667128987517336,218774,160646,21807,0.7343011509594376,0.09967820673388977,345602,178273,71238,0.5158332417057772,0.20612727935602224
6700,0.0142300668636043,1735413.0,2395997,0.3592899985704186,0.0,22775.459371477817,-0.3016187944342831,1.7424281367084917,0.4521497919556172,0.9528432732316228,1472028,829918,254557,0.5637922648210496,0.17292945514623362,2407628,869359,841216,0.3610852673253509,0.34939616917563676
6800,0.0084271888170296,450840.0,598228,0.3230210688635758,0.0,0.0,-0.5901121254861926,-0.04585419008525663,0.31900138696255204,0.49930651872399445,335026,220186,41555,0.6572206336224651,0.12403514951078423,647222,296960,147451,0.45882247513218033,0.22782136577557624
